parameter,stationname,date,hour,date_time,dayofweek,mass_conc,mass_conc_movel,valido
MP10,Parque D.Pedro II,2018-09-07,7,2018-09-07T06:59:59Z,sex,18,-,Sim
MP10,Parque D.Pedro II,2018-09-07,8,2018-09-07T07:59:59Z,sex,22,-,Sim
MP10,Parque D.Pedro II,2018-09-07,9,2018-09-07T08:59:59Z,sex,22,-,Sim
MP10,Parque D.Pedro II,2018-09-07,10,2018-09-07T09:59:59Z,sex,17,-,Sim
MP10,Parque D.Pedro II,2018-09-07,11,2018-09-07T10:59:59Z,sex,25,-,Sim
MP10,Parque D.Pedro II,2018-09-07,12,2018-09-07T11:59:59Z,sex,29,-,Sim
MP10,Parque D.Pedro II,2018-09-07,13,2018-09-07T12:59:59Z,sex,32,-,Sim
MP10,Parque D.Pedro II,2018-09-07,14,2018-09-07T13:59:59Z,sex,30,-,Sim
MP10,Parque D.Pedro II,2018-09-07,15,2018-09-07T14:59:59Z,sex,32,-,Sim
MP10,Parque D.Pedro II,2018-09-07,16,2018-09-07T15:59:59Z,sex,35,-,Sim
MP10,Parque D.Pedro II,2018-09-07,17,2018-09-07T16:59:59Z,sex,38,-,Sim
MP10,Parque D.Pedro II,2018-09-07,18,2018-09-07T17:59:59Z,sex,63,-,Sim
MP10,Parque D.Pedro II,2018-09-07,19,2018-09-07T18:59:59Z,sex,51,-,Sim
MP10,Parque D.Pedro II,2018-09-07,20,2018-09-07T19:59:59Z,sex,41,-,Sim
MP10,Parque D.Pedro II,2018-09-07,21,2018-09-07T20:59:59Z,sex,44,-,Sim
MP10,Parque D.Pedro II,2018-09-07,22,2018-09-07T21:59:59Z,sex,32,-,Sim
MP10,Parque D.Pedro II,2018-09-07,23,2018-09-07T22:59:59Z,sex,37,-,Sim
MP10,Parque D.Pedro II,2018-09-07,24,2018-09-07T23:59:59Z,sex,31,-,Sim
MP10,Parque D.Pedro II,2018-09-08,1,2018-09-08T00:59:59Z,sáb,46,-,Sim
MP10,Parque D.Pedro II,2018-09-08,2,2018-09-08T01:59:59Z,sáb,47,-,Sim
MP10,Parque D.Pedro II,2018-09-08,3,2018-09-08T02:59:59Z,sáb,58,-,Sim
MP10,Parque D.Pedro II,2018-09-08,4,2018-09-08T03:59:59Z,sáb,51,-,Sim
MP10,Parque D.Pedro II,2018-09-08,5,2018-09-08T04:59:59Z,sáb,48,-,Sim
MP10,Parque D.Pedro II,2018-09-08,6,2018-09-08T05:59:59Z,sáb,31,-,Sim
MP10,Parque D.Pedro II,2018-09-08,7,2018-09-08T06:59:59Z,sáb,41,-,Sim
MP10,Parque D.Pedro II,2018-09-08,8,2018-09-08T07:59:59Z,sáb,37,-,Sim
MP10,Parque D.Pedro II,2018-09-08,9,2018-09-08T08:59:59Z,sáb,36,-,Sim
MP10,Parque D.Pedro II,2018-09-08,10,2018-09-08T09:59:59Z,sáb,40,-,Sim
MP10,Parque D.Pedro II,2018-09-08,11,2018-09-08T10:59:59Z,sáb,47,-,Sim
MP10,Parque D.Pedro II,2018-09-08,12,2018-09-08T11:59:59Z,sáb,44,-,Sim
MP10,Parque D.Pedro II,2018-09-08,13,2018-09-08T12:59:59Z,sáb,41,-,Sim
MP10,Parque D.Pedro II,2018-09-08,14,2018-09-08T13:59:59Z,sáb,32,-,Sim
MP10,Parque D.Pedro II,2018-09-08,15,2018-09-08T14:59:59Z,sáb,30,-,Sim
MP10,Parque D.Pedro II,2018-09-08,16,2018-09-08T15:59:59Z,sáb,68,-,Sim
MP10,Parque D.Pedro II,2018-09-08,17,2018-09-08T16:59:59Z,sáb,60,-,Sim
MP10,Parque D.Pedro II,2018-09-08,18,2018-09-08T17:59:59Z,sáb,57,-,Sim
