parameter,stationname,date,hour,date_time,dayofweek,mass_conc,mass_conc_movel,valido
NOx,Pinheiros,2008-11-10,7,2008-11-10T06:59:59Z,Mon,41,-,Sim
NOx,Pinheiros,2008-11-10,8,2008-11-10T07:59:59Z,Mon,65,-,Sim
NOx,Pinheiros,2008-11-10,9,2008-11-10T08:59:59Z,Mon,65,-,Sim
NOx,Pinheiros,2008-11-10,10,2008-11-10T09:59:59Z,Mon,76,-,Sim
NOx,Pinheiros,2008-11-10,11,2008-11-10T10:59:59Z,Mon,47,-,Sim
NOx,Pinheiros,2008-11-10,12,2008-11-10T11:59:59Z,Mon,30,-,Sim
NOx,Pinheiros,2008-11-10,13,2008-11-10T12:59:59Z,Mon,39,-,Sim
NOx,Pinheiros,2008-11-10,14,2008-11-10T13:59:59Z,Mon,37,-,Sim
NOx,Pinheiros,2008-11-10,15,2008-11-10T14:59:59Z,Mon,31,-,Sim
NOx,Pinheiros,2008-11-10,16,2008-11-10T15:59:59Z,Mon,25,-,Sim
NOx,Pinheiros,2008-11-10,17,2008-11-10T16:59:59Z,Mon,23,-,Sim
NOx,Pinheiros,2008-11-10,18,2008-11-10T17:59:59Z,Mon,30,-,Sim
NOx,Pinheiros,2008-11-10,19,2008-11-10T18:59:59Z,Mon,35,-,Sim
NOx,Pinheiros,2008-11-10,20,2008-11-10T19:59:59Z,Mon,37,-,Sim
NOx,Pinheiros,2008-11-10,21,2008-11-10T20:59:59Z,Mon,31,-,Sim
NOx,Pinheiros,2008-11-10,22,2008-11-10T21:59:59Z,Mon,34,-,Sim
NOx,Pinheiros,2008-11-10,23,2008-11-10T22:59:59Z,Mon,25,-,Sim
NOx,Pinheiros,2008-11-10,24,2008-11-10T23:59:59Z,Mon,26,-,Sim
NOx,Pinheiros,2008-11-11,1,2008-11-11T00:59:59Z,Tue,67,-,Não
NOx,Pinheiros,2008-11-11,2,2008-11-11T01:59:59Z,Tue,11,-,Sim
NOx,Pinheiros,2008-11-11,3,2008-11-11T02:59:59Z,Tue,6,-,Sim
NOx,Pinheiros,2008-11-11,4,2008-11-11T03:59:59Z,Tue,5,-,Sim
NOx,Pinheiros,2008-11-11,5,2008-11-11T04:59:59Z,Tue,5,-,Sim
NOx,Pinheiros,2008-11-11,6,2008-11-11T05:59:59Z,Tue,11,-,Sim
